"Jaar indiening","Project Besluit VVO Type","Gebouw Functie kort","Handeling","[Project Indiening Datum.autoCalendar.Quarter]","Aantal projecten","Aantal gebouwen","Aantal gebouwen (met gebouwinfo)","Aantal wooneenheden","Aantal (studenten)kamers","Nuttige woonoppervlakte (m²)","Nuttige oppervlakte kamerwoningen (m²)","Bovengronds nuttige oppervlakte (m²)","Bovengronds grond oppervlakte (m²)","Gesloopte oppervlakte (m²)","Gesloopte volume (m³)"
"2018","Provincie","-","Sloop","Q3","192","318","318","0","0","0,00","0","0,00","0,00","179.362,33","870.017,91"
"2018","Provincie","-","-","Q3","84","116","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2018","Gemeente","-","Verbouwen of hergebruik","Q3","42","42","42","0","0","0,00","0","10.764,85","5.075,86","0,00","0,00"
"2018","Vlaamse Overheid","-","Sloop","Q3","8","47","47","0","0","0,00","0","0,00","0,00","23.564,73","158.070,94"
"2018","-","-","Verbouwen of hergebruik","Q3","6","6","6","0","0","0,00","0","1.026,21","640,59","0,00","0,00"
"2018","RVVB","-","Sloop","Q3","4","8","8","0","0","0,00","0","0,00","0,00","3.803,00","16.266,00"
"2018","Provincie","-","Verbouwen of hergebruik","Q3","1","1","1","0","0","0,00","0","169,00","206,00","0,00","0,00"
"2018","RVVB","-","-","Q3","0","6","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2018","Vlaamse Overheid","-","-","Q3","0","0","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2018","Gemeente","-","Sloop","Q4","1.996","3.109","3.109","0","0","0,00","0","0,00","0,00","980.358,51","5.905.902,03"
"2018","Gemeente","-","-","Q4","1.784","2.155","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2018","-","-","-","Q4","617","786","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2018","-","-","Sloop","Q4","516","872","872","0","0","0,00","0","0,00","0,00","460.751,18","3.890.419,92"
"2018","Provincie","-","Sloop","Q4","216","394","394","0","0","0,00","0","0,00","0,00","215.315,50","1.346.467,02"
"2018","Provincie","-","-","Q4","87","124","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2018","RVVB","-","Sloop","Q4","9","14","14","0","0","0,00","0","0,00","0,00","16.269,25","127.890,03"
"2018","Vlaamse Overheid","-","Sloop","Q4","9","9","9","0","0","0,00","0","0,00","0,00","5.151,30","41.906,71"
"2018","RVVB","-","-","Q4","4","4","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2018","Gemeente","-","Verbouwen of hergebruik","Q4","1","1","1","0","0","0,00","0","202,14","158,75","0,00","0,00"
"2018","Vlaamse Overheid","-","-","Q4","1","1","0","0","0","0,00","0","0,00","0,00","0,00","0,00"
"2018","RVVB","meergezinswoning","Verbouwen of hergebruik","Q1","1","1","1","1","0","66,35","0","88,00","88,00","0,00","0,00"
"2018","Gemeente","meergezins- en kamerwoning","Nieuwbouw","Q2","2","2","2","3","38","90,61","693","931,60","333,63","0,00","0,00"
"2018","Provincie","meergezins- en kamerwoning","Verbouwen of hergebruik","Q3","2","2","2","6","24","165,40","578","997,70","340,10","0,00","0,00"
"2018","Vlaamse Overheid","eengezinswoning","Nieuwbouw","Q3","1","1","1","1","0","220,00","0","220,00","110,00","0,00","0,00"
"2018","Vlaamse Overheid","eengezinswoning","Nieuwbouw","Q1","1","1","1","1","0","253,00","0","1.587,00","1.485,00","0,00","0,00"
"2018","Gemeente","meergezins- en kamerwoning","Nieuwbouw","Q3","1","1","1","4","8","273,60","296","637,49","208,84","0,00","0,00"
"2018","Vlaamse Overheid","eengezinswoning","Nieuwbouw","Q4","1","1","1","1","0","278,00","0","278,00","120,00","0,00","0,00"
"2018","RVVB","eengezinswoning","Nieuwbouw","Q3","1","1","1","1","0","321,97","0","321,97","167,62","0,00","0,00"
"2018","Gemeente","meergezins- en kamerwoning","Verbouwen of hergebruik","Q1","8","8","8","16","75","403,43","2.480","2.443,16","1.634,51","0,00","0,00"
"2018","Vlaamse Overheid","meergezinswoning","Nieuwbouw","Q2","1","1","1","2","0","404,00","0","1.026,45","1.026,45","0,00","0,00"
"2018","Vlaamse Overheid","eengezinswoning","Verbouwen of hergebruik","Q4","1","1","1","1","0","404,25","0","404,25","166,35","0,00","0,00"
"2018","-","meergezins- en kamerwoning","Nieuwbouw","Q3","2","2","2","5","11","458,60","363","889,49","277,04","0,00","0,00"
"2018","Gemeente","eengezins- en kamerwoning","Verbouwen of hergebruik","Q4","10","10","10","2","172","627,29","1.281","4.154,15","19.594,49","0,00","0,00"
"2018","Gemeente","eengezins- en kamerwoning","Verbouwen of hergebruik","Q2","8","8","8","2","34","627,29","976","2.433,62","1.129,36","0,00","0,00"
"2018","RVVB","eengezinswoning","Nieuwbouw","Q2","4","4","4","4","0","772,19","0","787,39","578,00","0,00","0,00"
"2018","RVVB","meergezinswoning","Verbouwen of hergebruik","Q2","3","4","4","12","0","1.396,26","0","1.694,70","864,25","0,00","0,00"
"2018","RVVB","meergezinswoning","Nieuwbouw","Q1","1","1","1","22","0","1.572,00","0","2.485,40","596,60","0,00","0,00"
"2018","-","meergezins- en kamerwoning","Verbouwen of hergebruik","Q1","2","2","2","20","30","2.051,56","670","4.349,31","1.176,88","0,00","0,00"
"2018","RVVB","meergezinswoning","Verbouwen of hergebruik","Q4","4","4","4","23","0","2.448,97","0","3.348,57","901,42","0,00","0,00"
