jaar,niscode,aantal_huishoudleden,aantal
2010,24137,2,725
2010,24137,3,397
2010,24137,4+,488
2010,31003,1,1311
2010,31003,2,2141
2010,31003,3,1000
2010,31003,4+,1353
2010,31004,1,3952
2010,31004,2,3461
2010,31004,3,1114
2010,31004,4+,1006
2010,31005,1,18036
2010,31005,2,17988
2010,31005,3,7296
2010,31005,4+,8698
2010,31006,1,983
2010,31006,2,1552
2010,31006,3,707
2010,31006,4+,1015
2010,31012,1,1193
2010,31012,2,1936
2010,31012,3,894
2010,31012,4+,1318
2010,31022,1,2140
2010,31022,2,3371
2010,31022,3,1479
2010,31022,4+,2045
2010,31033,1,2296
2010,31033,2,2996
2010,31033,3,1405
2010,31033,4+,1616
2010,31040,1,1849
2010,31040,2,3225
2010,31040,3,1562
2010,31040,4+,2080
2010,31042,1,266
2010,31042,2,410
2010,31042,3,178
2010,31042,4+,266
2010,31043,1,6379
2010,31043,2,6235
2010,31043,3,1871
2010,31043,4+,2064
2010,32003,1,1839
2010,32003,2,2304
2010,32003,3,1011
2010,32003,4+,1491
2010,32006,1,967
2010,32006,2,1283
2010,32006,3,666
2010,32006,4+,869
2010,32010,1,947
2010,32010,2,1234
2010,32010,3,621
2010,32010,4+,695
2010,32011,1,1226
2010,32011,2,1793
2010,32011,3,856
2010,32011,4+,1029
2010,32030,1,290
2010,32030,2,417
2010,32030,3,174
2010,32030,4+,351
2010,33011,1,4619
2010,33011,2,5060
2010,33011,3,2146
2010,33011,4+,2944
2010,33016,1,129
2010,33016,2,153
2010,33016,3,70
2010,33016,4+,66
2010,33021,1,2164
2010,33021,2,2796
2010,33021,3,1172
2010,33021,4+,1880
2010,33029,1,1981
2010,33029,2,2704
2010,33029,3,1154
2010,33029,4+,1573
2010,33037,1,1128
2010,33037,2,1645
2010,33037,3,808
2010,33037,4+,1176
2010,33039,1,891
2010,33039,2,1115
2010,33039,3,491
2010,33039,4+,765
2010,33040,1,748
2010,33040,2,1061
2010,33040,3,514
2010,33040,4+,761
2010,33041,1,351
2010,33041,2,457
2010,33041,3,242
2010,33041,4+,357
2010,34002,1,1299
2010,34002,2,2024
2010,34002,3,955
2010,34002,4+,1354
2010,34003,1,1177
2010,34003,2,1349
2010,34003,3,721
2010,34003,4+,770
2010,34009,1,1157
2010,34009,2,1656
2010,34009,3,763
2010,34009,4+,1010
2010,34013,1,3047
2010,34013,2,4252
2010,34013,3,1777
2010,34013,4+,2169
2010,34022,1,11629
2010,34022,2,10736
2010,34022,3,4344
2010,34022,4+,6016
2010,34023,1,1411
2010,34023,2,1960
2010,34023,3,856
2010,34023,4+,1099
2010,34025,1,552
2010,34025,2,869
2010,34025,3,378
2010,34025,4+,471
2010,34027,1,4324
2010,34027,2,4859
2010,34027,3,2088
2010,34027,4+,2591
2010,34040,1,3960
2010,34040,2,5312
2010,34040,3,2427
2010,34040,4+,3207
2010,34041,1,3205
2010,34041,2,4593
2010,34041,3,2012
2010,34041,4+,2784
2010,34042,1,2387
2010,34042,2,3519
2010,34042,3,1563
2010,34042,4+,2247
2010,34043,1,258
2010,34043,2,245
2010,34043,3,163
2010,34043,4+,195
2010,35002,1,2024
2010,35002,2,2573
2010,35002,3,1168
2010,35002,4+,1216
2010,35005,1,1231
2010,35005,2,1668
2010,35005,3,814
2010,35005,4+,1052
2010,35006,1,1341
2010,35006,2,2104
2010,35006,3,1037
2010,35006,4+,1170
2010,35011,1,3644
2010,35011,2,3397
2010,35011,3,1003
2010,35011,4+,1146
2010,35013,1,15676
2010,35013,2,11771
2010,35013,3,3936
2010,35013,4+,3834
2010,35014,1,844
2010,35014,2,1422
2010,35014,3,665
2010,35014,4+,728
2010,35029,1,2264
2010,35029,2,2215
2010,35029,3,716
2010,35029,4+,776
2010,36006,1,795
2010,36006,2,1369
2010,36006,3,700
2010,36006,4+,952
2010,36007,1,1114
2010,36007,2,1545
2010,36007,3,731
2010,36007,4+,924
2010,36008,1,3274
2010,36008,2,4257
2010,36008,3,1864
2010,36008,4+,2156
2010,36010,1,891
2010,36010,2,1341
2010,36010,3,646
2010,36010,4+,900
2010,36011,1,796
2010,36011,2,1292
2010,36011,3,559
2010,36011,4+,784
2010,36012,1,1094
2010,36012,2,1641
2010,36012,3,719
2010,36012,4+,926
2010,36015,1,7313
2010,36015,2,8475
2010,36015,3,3709
2010,36015,4+,4845
2010,36019,1,1034
2010,36019,2,1519
2010,36019,3,692
2010,36019,4+,1072
2010,37002,1,741
2010,37002,2,1094
2010,37002,3,577
2010,37002,4+,780
2010,37007,1,1094
2010,37007,2,1588
2010,37007,3,740
2010,37007,4+,1002
2010,37010,1,709
2010,37010,2,1066
2010,37010,3,513
2010,37010,4+,718
2010,37011,1,583
2010,37011,2,899
2010,37011,3,447
2010,37011,4+,640
2010,37012,1,480
2010,37012,2,714
2010,37012,3,309
2010,37012,4+,504
2010,37015,1,2345
2010,37015,2,2917
2010,37015,3,1251
2010,37015,4+,1667
2010,37017,1,816
2010,37017,2,1239
2010,37017,3,626
2010,37017,4+,895
2010,37018,1,1296
2010,37018,2,1884
2010,37018,3,980
2010,37018,4+,1259
2010,37020,1,929
2010,37020,2,1358
2010,37020,3,585
2010,37020,4+,802
2010,38002,1,532
2010,38002,2,618
2010,38002,3,288
2010,38002,4+,497
2010,38008,1,2094
2010,38008,2,1855
2010,38008,3,585
2010,38008,4+,650
2010,38014,1,3943
2010,38014,2,4363
2010,38014,3,1104
2010,38014,4+,1307
2010,38016,1,2174
2010,38016,2,2080
2010,38016,3,593
2010,38016,4+,672
2010,38025,1,1373
2010,38025,2,1692
2010,38025,3,726
2010,38025,4+,1003
2010,41002,1,12099
2010,41002,2,12484
2010,41002,3,5578
2010,41002,4+,5736
2010,41011,1,2063
2010,41011,2,2788
2010,41011,3,1409
2010,41011,4+,1456
2010,41018,1,4045
2010,41018,2,4736
2010,41018,3,2342
2010,41018,4+,2506
2010,41024,1,1968
2010,41024,2,2687
2010,41024,3,1475
2010,41024,4+,1345
2010,41027,1,1807
2010,41027,2,2371
2010,41027,3,1386
2010,41027,4+,1450
2010,41034,1,2022
2010,41034,2,2656
2010,41034,3,1361
2010,41034,4+,1374
2010,41048,1,4348
2010,41048,2,5417
2010,41048,3,2802
